2026-05-12 20:30:09.318 | ERROR    | scrapers.web.prediction_sites:scrape:41 - [Predictz] error: 0, message='', url=URL('https://www.predictz.com/predictions/')
2026-05-12 20:30:10.104 | ERROR    | scrapers.web.prediction_sites:scrape:132 - [SoccerVista] error: 0, message='', url=URL('https://www.soccervista.com/')
2026-05-12 20:30:11.293 | ERROR    | scrapers.web.prediction_sites:scrape:212 - [Windrawwin] error: 0, message='', url=URL('https://windrawwin.com/predictions/today/')
2026-05-12 20:30:15.019 | ERROR    | scrapers.web.forebet:scrape:35 - [Forebet] scrape error: 0, message='', url=URL('https://www.forebet.com/en/football-predictions')
2026-05-12 20:36:45.474 | ERROR    | scrapers.web.forebet:scrape:35 - [Forebet] scrape error: 0, message='', url=URL('https://www.forebet.com/en/football-predictions')
2026-05-12 20:36:46.429 | ERROR    | scrapers.web.prediction_sites:scrape:41 - [Predictz] error: 0, message='', url=URL('https://www.predictz.com/predictions/')
2026-05-12 20:36:47.696 | ERROR    | scrapers.web.prediction_sites:scrape:132 - [SoccerVista] error: 0, message='', url=URL('https://www.soccervista.com/')
2026-05-12 20:36:52.034 | ERROR    | scrapers.web.prediction_sites:scrape:212 - [Windrawwin] error: 0, message='', url=URL('https://windrawwin.com/predictions/today/')
2026-05-12 22:00:16.084 | ERROR    | scrapers.web.prediction_sites:scrape:212 - [Windrawwin] error: 0, message='', url=URL('https://windrawwin.com/predictions/today/')
2026-05-12 22:00:16.657 | ERROR    | scrapers.web.forebet:scrape:35 - [Forebet] scrape error: 0, message='', url=URL('https://www.forebet.com/en/football-predictions')
2026-05-12 22:00:17.877 | ERROR    | scrapers.web.prediction_sites:scrape:41 - [Predictz] error: 0, message='', url=URL('https://www.predictz.com/predictions/')
2026-05-12 22:00:18.072 | ERROR    | scrapers.web.prediction_sites:scrape:132 - [SoccerVista] error: 0, message='', url=URL('https://www.soccervista.com/')
2026-05-15 07:18:11.607 | ERROR    | scrapers.web.forebet:scrape:35 - [Forebet] scrape error: 0, message='', url=URL('https://www.forebet.com/en/football-predictions')
2026-05-15 07:18:12.919 | ERROR    | scrapers.web.prediction_sites:scrape:212 - [Windrawwin] error: 0, message='', url=URL('https://windrawwin.com/predictions/today/')
2026-05-15 07:18:13.471 | ERROR    | scrapers.web.prediction_sites:scrape:41 - [Predictz] error: 0, message='', url=URL('https://www.predictz.com/predictions/')
2026-05-15 07:18:16.284 | ERROR    | scrapers.web.prediction_sites:scrape:132 - [SoccerVista] error: 0, message='', url=URL('https://www.soccervista.com/')
2026-05-15 07:44:25.894 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 15 seconds
2026-05-15 07:44:28.091 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:44:30.324 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:44:32.500 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 9 seconds
2026-05-15 07:44:39.506 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:45:28.137 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 14 seconds
2026-05-15 07:45:30.329 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 12 seconds
2026-05-15 07:45:31.849 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 10 seconds
2026-05-15 07:45:32.562 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 10 seconds
2026-05-15 07:45:38.851 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:45:39.862 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:46:08.542 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 34 seconds
2026-05-15 07:46:10.084 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 32 seconds
2026-05-15 07:46:10.725 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 31 seconds
2026-05-15 07:46:12.315 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 30 seconds
2026-05-15 07:46:12.879 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 29 seconds
2026-05-15 07:46:14.509 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 28 seconds
2026-05-15 07:46:15.067 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 27 seconds
2026-05-15 07:46:16.725 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 25 seconds
2026-05-15 07:46:17.246 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 25 seconds
2026-05-15 07:46:19.513 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 23 seconds
2026-05-15 07:46:19.749 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 22 seconds
2026-05-15 07:46:21.711 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 20 seconds
2026-05-15 07:46:21.950 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 20 seconds
2026-05-15 07:46:23.933 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 18 seconds
2026-05-15 07:46:24.137 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 18 seconds
2026-05-15 07:46:26.123 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 16 seconds
2026-05-15 07:46:26.294 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 16 seconds
2026-05-15 07:46:28.298 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 14 seconds
2026-05-15 07:46:28.815 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
